universe: 738 files, 736 graded name-days, 63 dates (2026-05-18 .. 2026-08-17)
kevseq CANDIDATE fills (all clauses except burst+leg-cap): 2251
name-days in RUNNER cohort (max gain >= 25%): 651 / 736

### FAILURE CONDITION #1 — does burst refuse MORE on runners?
| cohort | candidates | pass V0 | no_burst rate |
|---|---|---|---|
| RUNNER | 2250 | 1287 | 42.8% |
| REST | 1 | 1 | 0.0% |
NOTE (honesty): this split is DEGENERATE — kevseq's own day-gain>=20% floor already
pre-selects runners, so REST is ~empty and the RUNNER/REST comparison carries no
information.  The real claim is about run INTENSITY, so it is tested by gain bucket:

| name-day max gain | candidates | pass V0 | no_burst rate |
|---|---|---|---|
| 20-50% | 186 | 110 | 40.9% |
| 50-100% | 841 | 528 | 37.2% |
| 100-200% | 757 | 415 | 45.2% |
| 200%+ | 467 | 235 | 49.7% |
FC#1 (intensity form): no_burst 20-50% cohort 40.9% vs 200%+ cohort 49.7% -> SATURATION CONFIRMED (refusal rises with run intensity)

### QUOTE-ENTRY (today) — ALL
| variant | N | total | $/tr | win |
|---|---|---|---|---|
| V0 baseline (trailing p75) | 1286 | $-3862.13 | $-3.00 | 33% |
| V1 pre-run p75 (30 bars before leg) | 1427 | $-4174.64 | $-2.93 | 33% |
| V2 OR session-median x1.5 | 1956 | $-7775.02 | $-3.97 | 30% |
| V2 OR session-median x2 | 1867 | $-7173.25 | $-3.84 | 30% |
| V2 OR session-median x3 | 1768 | $-6495.85 | $-3.67 | 31% |
| V3 dollar-volume trailing p75 | 1355 | $-4388.08 | $-3.24 | 33% |
| V4 no burst clause | 2248 | $-9505.76 | $-4.23 | 29% |

### QUOTE-ENTRY (today) — MINE
| variant | N | total | $/tr | win |
|---|---|---|---|---|
| V0 baseline (trailing p75) | 917 | $-3244.94 | $-3.54 | 31% |
| V1 pre-run p75 (30 bars before leg) | 1018 | $-3263.37 | $-3.21 | 31% |
| V2 OR session-median x1.5 | 1406 | $-5855.38 | $-4.16 | 29% |
| V2 OR session-median x2 | 1335 | $-5415.95 | $-4.06 | 29% |
| V2 OR session-median x3 | 1255 | $-4989.37 | $-3.98 | 30% |
| V3 dollar-volume trailing p75 | 964 | $-3442.11 | $-3.57 | 31% |
| V4 no burst clause | 1618 | $-7504.53 | $-4.64 | 28% |

### QUOTE-ENTRY (today) — HOLD-OUT
| variant | N | total | $/tr | win |
|---|---|---|---|---|
| V0 baseline (trailing p75) | 365 | $-899.60 | $-2.46 | 37% |
| V1 pre-run p75 (30 bars before leg) | 405 | $-1193.67 | $-2.95 | 36% |
| V2 OR session-median x1.5 | 544 | $-2243.27 | $-4.12 | 32% |
| V2 OR session-median x2 | 526 | $-2080.92 | $-3.96 | 33% |
| V2 OR session-median x3 | 507 | $-1830.10 | $-3.61 | 34% |
| V3 dollar-volume trailing p75 | 387 | $-1228.37 | $-3.17 | 37% |
| V4 no burst clause | 623 | $-2384.74 | $-3.83 | 32% |

### QUOTE-ENTRY (today) — RUNNER
| variant | N | total | $/tr | win |
|---|---|---|---|---|
| V0 baseline (trailing p75) | 1285 | $-3831.72 | $-2.98 | 33% |
| V1 pre-run p75 (30 bars before leg) | 1426 | $-4144.24 | $-2.91 | 33% |
| V2 OR session-median x1.5 | 1955 | $-7744.62 | $-3.96 | 30% |
| V2 OR session-median x2 | 1866 | $-7142.84 | $-3.83 | 30% |
| V2 OR session-median x3 | 1767 | $-6465.44 | $-3.66 | 31% |
| V3 dollar-volume trailing p75 | 1354 | $-4357.67 | $-3.22 | 33% |
| V4 no burst clause | 2247 | $-9475.35 | $-4.22 | 29% |

### QUOTE-ENTRY (today) — REST
